一级节点,二级节点,三级节点
自相关,包含,自相关的概念
自相关的概念,包含,定义：随机误差项之间的相关关系
自相关,包含,自相关的概念
自相关的概念,包含,假设：经典假设中无自相关
自相关,包含,自相关的概念
自相关的概念,包含,违背假设：自相关存在
违背假设：自相关存在,包含,"不满足cov(ui,uj)=E(uiuj)=0 i!=j"
自相关,包含,自相关的概念
自相关的概念,包含,自相关的程度表示
自相关的程度表示,包含,自相关系数表示自相关程度
自相关,包含,自相关的公式与自相关系数计算
自相关的公式与自相关系数计算,包含,计算公式
计算公式,包含,公式：r = ∑(ut * ut-1) / ∑(ut^2)
公式：r = ∑(ut * ut-1) / ∑(ut^2),包含,一阶自相关系数
自相关,包含,自相关的公式与自相关系数计算
自相关的公式与自相关系数计算,包含,取值范围
取值范围,包含,范围：-1 <= r <= 1
自相关,包含,自相关的公式与自相关系数计算
自相关的公式与自相关系数计算,包含,符号判断自相关类型
符号判断自相关类型,包含,"r > 0: 正相关, r < 0: 负相关, r = 0: 无自相关"
自相关,包含,自相关的公式与自相关系数计算
自相关的公式与自相关系数计算,包含,正相关情况
正相关情况,包含,正相关: ut与ut-1方向一致
自相关,包含,自相关的公式与自相关系数计算
自相关的公式与自相关系数计算,包含,负相关情况
负相关情况,包含,负相关: ut与ut-1方向相反
自相关,包含,自相关产生的原因
自相关产生的原因,包含,经济系统的惯性
经济系统的惯性,包含,经济数据周期波动性
自相关,包含,自相关产生的原因
自相关产生的原因,包含,经济活动的滞后效应
经济活动的滞后效应,包含,收入对消费的滞后影响
自相关,包含,自相关产生的原因
自相关产生的原因,包含,数据处理导致的相关
数据处理导致的相关,包含,平滑处理导致相关
自相关,包含,自相关产生的原因
自相关产生的原因,包含,蛛网现象
蛛网现象,包含,供给对价格的滞后反应
自相关,包含,自相关产生的原因
自相关产生的原因,包含,模型设定偏误
模型设定偏误,包含,虚假自相关
虚假自相关,包含,省略解释变量引起
自相关,包含,自相关产生的原因
自相关产生的原因,包含,模型函数形式错误
模型函数形式错误,包含,线性模型错误引入自相关
自相关,包含,自相关的表现形式
自相关的表现形式,包含,自回归形式AR
自回归形式AR,包含,AR的定义
自相关,包含,自相关的表现形式
自相关的表现形式,包含,一阶自回归AR(1)
一阶自回归AR(1),包含,公式: ut = r * ut-1 + vt
自相关,包含,自相关的表现形式
自相关的表现形式,包含,二阶自回归AR(2)
二阶自回归AR(2),包含,公式: ut = r1 * ut-1 + r2 * ut-2 + vt
自相关,包含,自相关的表现形式
自相关的表现形式,包含,m阶自回归AR(m)
m阶自回归AR(m),包含,公式: ut = r1 * ut-1 + ... + rm * ut-m + vt
自相关,包含,自相关的表现形式
自相关的表现形式,包含,移动平均MA形式
移动平均MA形式,包含,定义为n期误差项的组合
自相关,包含,自相关的表现形式
自相关的表现形式,包含,MA(n)表示
MA(n)表示,包含,MA形式的定义
自相关,包含,自相关的表现形式
自相关的表现形式,包含,混合自回归-移动平均ARMA形式
混合自回归-移动平均ARMA形式,包含,结合AR与MA
自相关,包含,自相关的表现形式
自相关的表现形式,包含,"ARMA(m, n)描述"
"ARMA(m, n)描述",包含,用于复杂时间序列
自相关,包含,自相关的表现形式
自相关的表现形式,包含,应用于时间序列数据
应用于时间序列数据,包含,适用于时间序列分析
自相关,包含,自相关的表现形式
自相关的表现形式,包含,实际应用表现良好
实际应用表现良好,包含,常用于经济数据分析
自相关的后果,包含,一阶自回归形式的性质
一阶自回归形式的性质,包含,模型表达式
模型表达式,包含,模型公式：Yt = β1 + β2 Xt + ut
模型公式：Yt = β1 + β2 Xt + ut,包含,"假设：ut = ρ ut-1 + vt，ρ为一阶自相关系数，满足古典假定：E(vt)=0, Var(vt)=σ^2, Cov(vt, vt+s)=0 (s≠0)"
自相关的后果,包含,随机误差项的表示
随机误差项的表示,包含,误差项表示形式
误差项表示形式,包含,公式：ut = Σ ρ^i vt-i
自相关的后果,包含,随机误差项的表示
随机误差项的表示,包含,误差项权重和衰减特征
误差项权重和衰减特征,包含,权数随时间呈几何衰减或交错振荡，当0<ρ<1时，权数几何衰减；-1<ρ<0时交错振荡
权数随时间呈几何衰减或交错振荡，当0<ρ<1时，权数几何衰减；-1<ρ<0时交错振荡,包含,在为一阶自回归形式的自相关时，随机误差项依然满足零均值、同方差的假定。
自相关的后果,包含,自相关对参数估计的影响
自相关对参数估计的影响,包含,参数估计无偏性
参数估计无偏性,包含,无偏性： E(β^)=β
无偏性： E(β^)=β,包含,不受自相关影响的无偏性
自相关的后果,包含,自相关对参数估计的影响
自相关对参数估计的影响,包含,自相关存在下的OLS估计方差变化
自相关存在下的OLS估计方差变化,包含,公式：Var(β) = σ^2 / Σ X^2
公式：Var(β) = σ^2 / Σ X^2,包含,可能会低估存在自相关时参数估计量的真实方差。
自相关的后果,包含,参数估计的方差
参数估计的方差,包含,方差低估问题
方差低估问题,包含,估计方差低估导致错误检验
自相关的后果,包含,自相关对模型检验的影响
自相关对模型检验的影响,包含,t统计量和参数显著性
t统计量和参数显著性,包含,显著性检验失效
显著性检验失效,包含,t统计量计算
自相关的后果,包含,自相关对模型检验的影响
自相关对模型检验的影响,包含,F统计量和R2检验
F统计量和R2检验,包含,t统计量过高估计显著性
t统计量过高估计显著性,包含,F统计量依赖的估计方差失真
自相关的后果,包含,自相关对模型检验的影响
自相关对模型检验的影响,包含,模型检验的失效
模型检验的失效,包含,回归显著性检验失去意义
回归显著性检验失去意义,包含,R^2受影响
自相关的后果,包含,自相关对模型预测的影响
自相关对模型预测的影响,包含,预测精度的影响
预测精度的影响,包含,预测误差受方差影响
预测误差受方差影响,包含,预测置信区间扩大
自相关的后果,包含,自相关对模型预测的影响
自相关对模型预测的影响,包含,不确定性增加
不确定性增加,包含,抽样误差增大
抽样误差增大,包含,样本方差估计不可靠
自相关的后果,包含,自相关对模型预测的影响
自相关对模型预测的影响,包含,信赖区间不可靠
信赖区间不可靠,包含,预测区间不可靠
预测区间不可靠,包含,预测精度下降
自相关的检验,包含,图示检验法
图示检验法,包含,残差散点图
残差散点图,包含,绘制t-1与t期的残差图
自相关的检验,包含,图示检验法
图示检验法,包含,残差时间序列图
残差时间序列图,包含,绘制时间序列图，判断变化规律
自相关的检验,包含,图示检验法
图示检验法,包含,判断相关性
判断相关性,包含,判断是否有正自相关或负自相关
自相关的检验,包含,DW检验法
DW检验法,包含,DW检验的假设条件
DW检验的假设条件,包含,解释变量非随机；误差项一阶自回归
解释变量非随机；误差项一阶自回归,包含,适用于一阶自回归的DW检验
自相关的检验,包含,DW检验法
DW检验法,包含,DW统计量定义
DW统计量定义,包含,公式：DW = Σ(e_t - e_{t-1})2 / Σ e_t2
公式：DW = Σ(e_t - e_{t-1})2 / Σ e_t2,包含,误差项满足经典假定的前提
自相关的检验,包含,DW检验法
DW检验法,包含,DW决策规则
DW决策规则,包含,决策范围：0 ≤ DW ≤ 4
自相关的检验,包含,DW检验法
DW检验法,包含,DW值计算
DW值计算,包含,DW值计算的结果解释
DW值计算的结果解释,包含,根据计算得到的DW值判断
自相关的检验,包含,DW检验法
DW检验法,包含,正相关、无自相关、负相关
正相关、无自相关、负相关,包含,DW值靠近0时正相关，靠近4时负相关
自相关的检验,包含,DW检验法
DW检验法,包含,缺点
缺点,包含,不确定区域
不确定区域,包含,在LD和UD之间无法确定。DW统计量的上、下界表要求n≥15，这是因为样本如果过小，利用残差就很难对自相关的存在性做出比较正确的诊断
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,BG检验的理论基础和假设
BG检验的理论基础和假设,包含,BG检验假设无自相关，残差与解释变量不相关
BG检验假设无自相关，残差与解释变量不相关,包含,BG检验适用于高阶自相关
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,辅助回归的步骤
辅助回归的步骤,包含,OLS估计模型残差
OLS估计模型残差,包含,解释变量和滞后残差的回归
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,LM统计量构建
LM统计量构建,包含,构建 LM = T * R2
构建 LM = T * R2,包含,通过R2计算LM统计量
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,BG检验的步骤
BG检验的步骤,包含,步骤1: 计算残差
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,滞后残差回归
滞后残差回归,包含,步骤2: 滞后残差作为新解释变量
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,辅助回归可决系数计算
辅助回归可决系数计算,包含,辅助回归可决系数 R2 的计算
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,LM统计量分布
LM统计量分布,包含,LM ~ 卡方分布
LM ~ 卡方分布,包含,大样本条件下满足卡方分布
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,显著性水平判断
显著性水平判断,包含,在显著水平下判断是否拒绝原假设
在显著水平下判断是否拒绝原假设,包含,LM统计量与卡方分布对比
自相关的检验,包含,Breusch-Godfrey（BG）检验
Breusch-Godfrey（BG）检验,包含,自由度和分布条件
自由度和分布条件,包含,自由度为滞后阶数的卡方分布
自相关的补救,包含,广义差分法
广义差分法,包含,广义差分法的基本步骤
广义差分法的基本步骤,包含,模型公式：ut = ρut-1 + vt
模型公式：ut = ρut-1 + vt,包含,通过广义差分方法，利用滞后项修正模型中的自相关
自相关的补救,包含,广义差分法
广义差分法,包含,广义差分法的限制与适用
广义差分法的限制与适用,包含,如果误差项的自相关形式是AR（p），则需要使用p阶广义差分，在进行广义差分时，样本容量由n减少为n-1。样本容量较大，减少一个观测值对估计结果影响不大。如果样本容量较小，则会对估计精度产生较大影响。
如果误差项的自相关形式是AR（p），则需要使用p阶广义差分，在进行广义差分时，样本容量由n减少为n-1。样本容量较大，减少一个观测值对估计结果影响不大。如果样本容量较小，则会对估计精度产生较大影响。,包含,"可采用普莱斯―温斯滕（Prais-Winsten）变换，将第一个观测值分别变换为Y1*(1-ρ^2)^(1/2),X1*(1-ρ^2)^(1/2)，补充到差分序列中，再使用普通最小二乘法估计参数。"
自相关的补救,包含,自相关系数的确定
自相关系数的确定,包含,DW统计量与自相关系数的关系
DW统计量与自相关系数的关系,包含,DW值与r的关系公式：ρ(hat) = 1 - (DW / 2)
DW值与r的关系公式：ρ(hat) = 1 - (DW / 2),包含,科克伦―奥克特法通过连续迭代逐步逼近最优r值
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et
第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et,包含,第二步：利用残差作如下的回归et=ρ(hat)e(t-1)+vt
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第二步：利用残差作如下的回归et=ρ(hat)e(t-1)+vt
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第三步:用OLS法估计ρ(hat)，对模型式进行广义差分
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第四步，将前一步估计的结果代入原回归方程式求得新的残差
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,第五步，利用残差et做回归
自相关的补救,包含,科克伦―奥克特迭代法
科克伦―奥克特迭代法,包含,科克伦―奥克特迭代法的步骤
科克伦―奥克特迭代法的步骤,包含,结果：当不能确认估计结果是否是的最佳估计值时，继续迭代估计的第三轮估计值。直到估计的第k轮与第k-1轮相差很小时，收敛并满足精度要求，或回归所得DW统计量说明已不存在自相关时为止。
自相关的补救,包含,德宾两步法
德宾两步法,包含,德宾两步法的基本步骤
德宾两步法的基本步骤,包含,第一步估计ρ，第二步利用ρ进行广义差分修正，然后使用OLS法对广义差分方程估计参数，求得最佳线性无偏估计量。
